Gender,Age,Senior Citizen,Married,Dependents,Number of Dependents,City,Zip Code,Population,Referred a Friend,Number of Referrals,Tenure in Months,Internet Service,Phone Service,Avg Monthly GB Download,Unlimited Data,Contract,Monthly Charge,Monthly Extra Data Charge,Monthly Long Distance Charge,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Add-on Services,Streaming TV,Streaming Movies,Streaming Music,Streaming Services,Satisfaction Score,Customer Status,Churn,Churn Reason
0,78,1,0,0,0,Los Angeles,90022,68701,0,0,1,1,0,8,0,Month-to-Month,39.65,20.0,0.0,0,0,1,0,1,0,1,0,1,3,Churned,1,Competitor offered more data
1,74,1,1,1,1,Los Angeles,90063,55668,1,1,8,1,1,17,1,Month-to-Month,79.1625,0.0,48.85,0,1,0,0,1,0,0,0,0,3,Churned,1,Competitor made better offer
0,71,1,0,1,3,Los Angeles,90065,47534,0,0,18,1,1,52,1,Month-to-Month,97.3639,0.0,11.33,0,0,0,0,0,1,1,1,3,2,Churned,1,Competitor made better offer
1,78,1,1,1,1,Inglewood,90303,27778,1,1,25,1,1,12,1,Month-to-Month,100.58,0.0,19.76,0,1,1,0,2,1,1,0,2,2,Churned,1,Limited range of services
1,80,1,1,1,1,Whittier,90602,26265,1,1,37,1,1,14,1,Month-to-Month,77.5176,0.0,6.33,0,0,0,0,0,0,0,0,0,2,Churned,1,Extra data charges
1,72,1,0,1,1,Pico Rivera,90660,63288,0,0,27,1,1,18,0,Month-to-Month,79.0926,0.3704,3.33,0,0,1,0,1,0,0,0,0,1,Churned,1,Competitor had better devices
1,76,1,1,1,2,Los Alamitos,90720,21343,1,1,1,1,1,30,1,Month-to-Month,70.45,0.0,15.28,0,0,0,0,0,0,0,0,0,2,Churned,1,Don't know
0,66,1,1,0,0,Sierra Madre,91024,10558,1,6,58,1,0,24,1,Month-to-Month,45.7103,0.0,0.0,0,1,1,0,2,0,1,0,1,1,Churned,1,Service dissatisfaction
1,70,1,0,1,2,Pasadena,91106,23742,0,0,15,1,1,19,1,Month-to-Month,76.38,0.0,44.07,0,0,0,0,0,0,0,0,0,2,Churned,1,Limited range of services
1,77,1,0,1,2,Pasadena,91107,32369,0,0,7,1,1,18,0,Month-to-Month,71.9429,0.0,26.95,1,0,0,0,1,0,0,0,0,2,Churned,1,Lack of affordable download/upload speed
1,78,1,0,1,1,North Hollywood,91605,57146,0,0,11,1,1,29,0,Month-to-Month,101.8455,10.9091,11.59,0,1,0,0,1,1,1,0,2,1,Churned,1,Product dissatisfaction
0,65,1,0,0,0,Covina,91722,33817,0,0,15,1,1,29,1,Month-to-Month,71.62,0.0,29.11,0,1,0,0,1,0,0,0,0,1,Churned,1,Competitor had better devices
0,77,1,1,0,0,El Monte,91732,62660,1,1,1,1,0,12,1,Month-to-Month,40.2,0.0,0.0,0,1,0,0,1,1,0,0,1,2,Churned,1,Limited range of services
0,67,1,0,0,0,La Puente,91746,30802,0,0,3,1,0,28,1,Month-to-Month,44.0667,0.0,0.0,0,0,1,0,1,0,1,1,2,2,Churned,1,Long distance charges
0,68,1,0,0,0,Rowland Heights,91748,46342,0,0,13,1,1,11,0,Month-to-Month,104.9462,0.7692,32.68,0,1,1,0,2,1,1,0,2,1,Churned,1,Competitor had better devices
1,68,1,0,0,0,Ontario,91764,49474,0,0,16,1,1,9,1,Month-to-Month,94.45,0.0,9.43,0,0,0,1,1,1,1,1,3,1,Churned,1,Competitor had better devices
0,66,1,0,0,0,Alpine,91901,16486,0,0,8,1,1,7,1,Month-to-Month,75.8188,0.0,1.78,0,1,0,0,1,0,0,0,0,2,Churned,1,Poor expertise of online support
0,69,1,0,0,0,San Diego,92122,34902,0,0,24,1,1,15,1,Month-to-Month,71.3625,0.0,30.87,0,0,0,0,0,0,0,0,0,2,Churned,1,Competitor made better offer
1,74,1,0,0,0,San Diego,92122,34902,0,0,4,1,1,2,1,Month-to-Month,99.025,0.0,31.61,0,0,0,0,0,1,1,0,2,3,Churned,1,Competitor made better offer
0,76,1,1,0,0,San Diego,92122,34902,1,2,32,1,1,10,1,Month-to-Month,71.9797,0.0,47.34,0,0,0,0,0,0,0,0,0,2,Churned,1,Attitude of support person
